,nt_dsc_estrut_fisic_ambiencia,nt_dsc_adap_defic_fisic_idosos,nt_dsc_equipamentos,nt_dsc_medicamentos,cnes
0,3,3,2,2,6749836
1,1,1,1,2,2014815
2,3,1,1,2,2624591
3,2,2,1,2,2429764
4,1,1,2,2,2294877
5,1,1,1,2,2007347
6,3,3,1,2,6859240
7,1,1,2,2,2632640
8,1,2,1,2,2134063
9,3,1,2,2,2526204
10,2,2,1,2,6935257
11,3,3,1,2,5553563
12,3,2,1,2,5602718
13,3,2,3,2,6609074
14,3,3,1,2,6566952
15,2,3,1,2,2487713
16,2,1,1,2,2235897
17,2,1,2,2,2750902
18,3,1,1,2,2567067
19,1,3,2,2,2469219
20,2,1,1,2,3253961
21,2,2,1,2,2672588
22,1,1,1,2,2014424
23,3,1,1,2,2250470
24,3,2,1,2,2792591
25,2,1,2,2,3545091
26,2,2,1,2,2181975
27,3,3,1,2,2291
28,1,1,1,2,2447754
29,1,2,2,2,2254735
30,1,1,1,2,2015935
31,2,3,1,2,2552167
32,2,1,1,2,2042622
33,1,2,1,2,8230
34,3,3,1,2,2426927
35,1,2,2,2,2228440
36,2,2,1,2,2098709
37,2,3,1,2,5655730
38,1,1,1,2,2741490
39,2,2,1,2,2105349
40,2,1,1,2,5320380
41,2,2,1,2,2198428
42,2,1,1,2,5410347
43,2,1,1,2,5548918
44,1,2,1,2,6232205
45,3,1,1,2,21911
46,1,2,1,2,6332463
47,2,1,1,2,6332528
48,2,1,2,2,2823098
49,2,2,1,2,3793974
50,2,1,1,2,2450348
51,3,3,1,2,5986621
52,3,2,1,2,2086689
53,2,2,1,2,2040670
54,3,2,1,2,6319963
55,1,1,2,2,2675927
56,2,2,1,2,2022915
57,1,2,2,2,2415070
58,3,1,1,2,2364476
59,3,2,1,2,4020030
60,2,3,2,2,4012569
61,2,1,1,2,2385732
62,2,1,1,2,2637448
63,1,2,3,2,2795914
64,3,3,1,2,2436965
65,2,1,1,2,2724812
66,2,1,1,2,2753049
67,1,1,1,2,2404788
68,2,2,1,2,2116804
69,2,1,2,2,3783855
70,3,2,1,2,2375788
71,3,2,1,2,2436124
72,2,1,1,2,2619911
73,3,2,1,2,2145634
74,3,2,1,2,2591391
75,1,1,1,2,2054744
76,1,1,2,2,2445271
77,1,1,2,2,2046318
78,2,1,1,2,5924472
79,1,3,2,2,2219336
80,2,1,1,2,2664925
81,2,1,1,2,2299534
82,1,1,2,2,2664399
83,2,1,1,2,2751151
84,1,1,1,2,2739488
85,2,2,1,2,2416565
86,1,1,3,2,5172780
87,2,3,1,2,2471116
88,2,3,1,2,2114135
89,1,2,2,2,2604507
90,1,2,2,2,2372452
91,2,1,1,2,2076772
92,1,1,2,2,2739712
93,3,3,1,2,2664097
94,2,1,1,2,2743671
95,1,2,2,2,3883779
96,3,3,1,2,3912698
97,1,1,2,2,3054942
98,3,3,1,2,3540286
99,3,2,1,2,3357155
100,1,2,2,2,6333559
101,2,1,3,2,2528193
102,2,1,1,2,3484084
103,3,3,2,2,2769123
104,1,2,1,2,2047799
105,1,1,2,2,6255167
106,3,2,1,2,6025323
107,2,2,2,2,2372924
108,1,1,1,2,6332420
109,3,2,1,2,2011093
110,3,3,1,2,2534053
111,3,3,1,2,2635003
112,1,1,2,2,5053226
113,1,1,1,2,3571823
114,2,2,1,2,3431495
115,2,3,1,2,2425831
116,3,3,1,2,6950221
117,1,2,1,2,2744325
118,3,2,1,2,2440628
119,2,2,1,2,2419858
120,1,1,1,2,2758865
121,2,3,1,2,2644010
122,2,1,1,2,2103613
123,2,3,1,2,2299704
124,2,3,1,2,2491052
125,3,2,1,2,3375161
126,3,3,2,2,2469561
127,2,2,1,2,3016684
128,3,2,1,2,2242664
129,2,3,3,2,2245469
130,1,1,2,2,22365
131,1,1,2,2,2483254
132,2,1,1,2,21865
133,2,1,1,2,2595176
134,3,2,1,2,6852696
135,1,1,2,2,5108845
136,1,1,2,2,5089336
137,1,1,2,2,5139090
138,1,1,1,2,2466368
139,1,1,2,2,2725800
140,2,1,2,2,2676141
141,2,2,1,2,2270463
142,2,1,3,2,2216523
143,1,1,2,2,2199955
144,2,2,1,2,2740516
145,1,2,2,2,2184923
146,1,2,2,2,2305461
147,2,1,2,2,2725304
148,2,2,1,2,2236079
149,2,1,2,2,5838797
150,1,2,1,2,2102498
151,1,1,2,2,2559005
152,1,1,2,2,2664526
153,2,1,1,2,2245507
154,2,1,1,2,2557304
155,1,3,1,2,2085712
156,2,1,3,2,2723905
157,2,3,1,2,2538512
158,3,3,1,2,2194236
159,1,1,1,2,2030276
160,1,1,1,2,2741679
161,1,2,1,2,6223419
162,1,2,1,2,5571723
163,2,1,1,2,6252931
164,2,3,1,2,3545121
165,2,1,1,2,2438364
166,3,2,1,2,6224741
167,3,1,1,2,3567575
168,1,1,1,2,3776166
169,2,3,2,2,2525046
170,2,1,1,2,2260263
171,2,1,1,2,2369540
172,1,1,2,2,26344
173,3,1,1,2,2554593
174,1,2,1,2,2224623
175,3,3,1,2,2207095
176,1,2,2,2,2375036
177,1,1,2,2,4067584
178,1,2,1,2,2208652
179,2,1,1,2,2473003
180,2,2,1,2,2040204
181,3,1,1,2,2636492
182,2,1,1,2,2722089
183,3,3,1,2,2649616
184,2,1,2,2,2611708
185,3,3,1,2,4062418
186,3,3,1,2,2300079
187,1,1,2,2,2742810
188,2,3,2,2,2041847
189,2,1,1,2,2227517
190,2,1,1,2,5476798
191,1,2,1,2,2285452
192,1,2,1,2,2554690
193,2,3,1,2,2122324
194,2,1,2,2,2001217
195,1,1,2,2,2193973
196,2,1,1,2,2323192
197,2,1,1,2,2027690
198,3,1,1,2,2346206
199,3,2,1,2,2291703
200,2,2,1,2,2304279
201,3,2,1,2,2072335
202,3,1,2,2,2126435
203,1,3,2,2,2375230
204,3,2,1,2,2783355
205,2,1,1,2,2687933
206,3,3,1,2,2045389
207,3,3,2,2,2750732
208,1,1,2,2,5032776
209,1,3,1,2,2787180
210,2,2,1,2,5087554
211,1,2,2,2,5624878
212,2,1,2,2,2031493
213,1,1,1,2,2739437
214,2,1,1,2,2788128
215,1,2,1,2,2043823
216,3,1,1,2,2036657
217,2,2,1,2,2184311
218,2,1,1,2,5724120
219,1,1,1,2,3286975
220,3,2,1,2,2450887
221,2,1,2,2,5617553
222,3,1,1,2,2655098
223,1,3,2,2,2526964
224,2,1,1,2,3988112
225,2,2,1,2,3529215
226,3,1,1,2,2501910
227,2,2,1,2,3491056
228,1,2,1,2,2500035
229,1,1,1,2,2432153
230,2,2,1,2,2652048
231,2,1,1,2,2655144
232,2,1,2,2,6081126
233,2,2,1,2,6627676
234,2,2,1,2,6689787
235,2,1,1,2,6734405
236,1,1,1,2,6783279
237,2,2,1,2,2065339
238,3,2,1,2,6795439
239,2,1,1,2,2329530
240,2,1,1,2,2250977
241,2,3,1,2,2184125
242,1,2,1,2,6906575
243,1,3,1,2,2499460
244,2,3,2,2,2536609
245,1,1,1,2,6865232
246,2,1,1,2,2265141
247,2,1,1,2,2614774
248,3,2,1,2,2614839
249,2,1,1,2,2616289
250,1,2,2,2,5315905
251,1,3,3,2,3914275
252,2,1,1,2,5525128
253,3,2,1,2,2720574
254,3,3,1,2,4049314
255,1,1,2,2,2391481
256,1,1,2,2,2373920
257,3,2,1,2,2396238
258,3,2,3,2,2092549
259,3,2,3,2,8362
260,1,1,2,2,2224909
261,3,1,1,2,22063
262,3,2,1,2,4032136
263,3,2,1,2,2415585
264,1,2,2,2,2537710
265,1,2,2,2,4010884
266,3,3,2,2,4024524
267,2,1,1,2,2553929
268,2,3,1,2,2102951
269,1,2,1,2,2624362
270,2,1,1,2,2794322
271,3,2,1,2,2213176
272,3,2,1,2,2676958
273,2,1,1,2,2821923
274,3,2,1,2,3831434
275,2,1,1,2,2439565
276,2,3,2,2,3835030
277,3,3,1,2,5484456
278,3,2,1,2,2533952
279,2,1,2,2,2316099
280,1,3,1,2,3152820
281,2,1,1,2,2477823
282,2,2,1,2,5492971
283,2,1,2,2,2653036
284,1,2,1,2,2033704
285,1,2,1,2,2229463
286,1,2,2,2,2251906
287,3,1,2,2,22225
288,3,3,1,2,2429616
289,1,2,2,2,2191865
290,1,1,1,2,2486288
291,2,3,1,2,2322315
292,1,1,2,2,2425777
293,2,2,1,2,2457547
294,2,1,1,2,2387948
295,2,1,1,2,2310589
296,2,1,1,2,2208571
297,3,2,2,2,5927390
298,3,3,2,2,2796821
299,2,1,2,2,2676737
300,1,2,3,2,4050215
301,2,2,1,2,5703077
302,3,2,1,2,16748
303,1,2,1,2,2077132
304,3,1,1,2,5058252
305,1,2,1,2,2483629
306,1,2,1,2,3023613
307,1,1,1,2,2465396
308,3,3,1,2,2202506
309,2,1,1,2,2605848
310,1,2,2,2,2635593
311,2,2,1,2,2038218
312,2,1,1,2,2400812
313,3,1,1,2,3022668
314,1,2,1,2,4022440
315,3,3,3,2,2779323
316,1,1,2,2,2740478
317,2,3,2,2,6065023
