,lat,long,cod_municipio,cnes,nom_estab,dsc_endereco,dsc_bairro,dsc_cidade,dsc_telefone,dsc_estrut_fisic_ambiencia,dsc_adap_defic_fisic_idosos,dsc_equipamentos,dsc_medicamentos,uf,cidade,no_fantasia,no_logradouro,no_bairro,cod_estado,nome_estado
0,-15.453,-47.614,521760,2438623,UNIDADE BASICA DE SAUDE 06 QA11 LESTE,QA11 MC,SETOR LESTE,Planaltina,(61)6371273,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Planaltina,UNIDADE BASICA DE SAUDE ESF 06 QD 03 NORTE,QD 03 - 31,SETOR NORTE,52,Goiás
1,-16.204,-48.707,520010,2383535,POSTO DE SAUDE SAO GERONIMO ABADIANIA,FAZENDA SAO GERONIMO,CENTRO,Abadiânia,(62)3431113,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Abadiânia,POSTO DE SAUDE SAO GERONIMO ABADIANIA,FAZENDA SAO GERONIMO - S/N,CENTRO,52,Goiás
2,-15.762,-48.282,520025,2441071,POSTO PSF PEROLA II,QUADRA 66 LOTE,JARDIM PEROLA II,Águas Lindas de Goiás,(61)6181209,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Águas Lindas de Goiás,POSTO PSF PEROLA II,QUADRA 66 LOTE - 01,JARDIM PEROLA II,52,Goiás
3,-15.94,-48.255,521975,2441039,UNIDADE DE SAUDE PSF EQUIPE 13,QUADRA 21,ANA BEATRIZ I,Santo Antônio do Descoberto,Não se aplica,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Santo Antônio do Descoberto,UNIDADE DE SAUDE PSF EQUIPE 13,QUADRA 07 LOTES 05 A 10 - 0510,ANA BEATRIZ I,52,Goiás
4,-16.066,-47.979,522185,2438275,UNIDADE BASICA DE SAUDE CRUZEIRO DO SUL,AV CENTRAL,CRUZEIRO DO SUL,Valparaíso de Goiás,6136245247,Desempenho muito acima da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Valparaíso de Goiás,UNIDADE BASICA DE SAUDE CRUZEIRO DO SUL,AV CENTRAL - S/N,CRUZEIRO DO SUL,52,Goiás
5,-15.762,-48.282,520025,2438186,CENTRO DE SAUDE AGUAS LINDAS II,QUADRA 01 LT 01,AGUAS LINDAS II,Águas Lindas de Goiás,(61)6181512,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Águas Lindas de Goiás,POSTO PSF AGUAS LINDAS II,QUADRA 00 LT 01 - S/N,AGUAS LINDAS II,52,Goiás
6,-15.16,-48.284,521560,6895298,EQPEN EQUIPE DE ATENCAO A SAUDE DO SISTEMA PENITENCIARIO,AVENIDA JK,CENTRO,Padre Bernardo,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Padre Bernardo,EQPEN EQUIPE DE ATENCAO A SAUDE DO SISTEMA PENITENCIARIO,AVENIDA JK - 080,CENTRO,52,Goiás
7,-16.253,-47.95,521250,2340208,CAIS I,ALAMEDA SANTA MARIA IZAR GANCALVES,SETOR FUMAL,Luziânia,6139063584,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,GO,Luziânia,CAIS I,ALAMEDA SANTA MARIA IZAR GANCALVES - S/N,SETOR FUMAL,52,Goiás
8,-16.066,-47.979,522185,6299180,UNIDADE DE SAUDE DA FAMILIA ESPLANADA II,RUA 13 QD 49 LOTE,ESPLANADA II,Valparaíso de Goiás,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Valparaíso de Goiás,UNIDADE DE SAUDE DA FAMILIA ESPLANADA II,RUA 13 QD 49 LOTE - 05,ESPLANADA II,52,Goiás
9,-15.94,-48.255,521975,2441012,EQUIPE DE SAUDE DA FAMILIA 011,QUADRA 50 A,MANSOES BITENCOURT,Santo Antônio do Descoberto,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,GO,Santo Antônio do Descoberto,EQUIPE DE SAUDE DA FAMILIA 011,QUADRA 50 A LOTE - 15,PARQUE ESTRELA DALVA,52,Goiás
